Series Code,Series Name
IC.REG.COST.PC.FE.ZS,"Cost of business start-up procedures, female (% of GNI per capita)"
IC.REG.COST.PC.MA.ZS,"Cost of business start-up procedures, male (% of GNI per capita)"
IC.REG.COST.PC.ZS,Cost of business start-up procedures (% of GNI per capita)
IC.REG.DURS,Time required to start a business (days)
IC.REG.DURS.FE,"Time required to start a business, female (days)"
IC.REG.DURS.MA,"Time required to start a business, male (days)"
IC.REG.PROC,Start-up procedures to register a business (number)
IC.REG.PROC.FE,"Start-up procedures to register a business, female (number)"
IC.REG.PROC.MA,"Start-up procedures to register a business, male (number)"
IC.TAX.DURS,Time to prepare and pay taxes (hours)
IC.TAX.GIFT.ZS,Firms expected to give gifts in meetings with tax officials (% of firms)
IC.TAX.LABR.CP.ZS,Labor tax and contributions (% of commercial profits)
IC.TAX.METG,Number of visits or required meetings with tax officials
IC.TAX.OTHR.CP.ZS,Other taxes payable by businesses (% of commercial profits)
IC.TAX.PAYM,Tax payments (number)
IC.TAX.PRFT.CP.ZS,Profit tax (% of commercial profits)
IC.TAX.TOTL.CP.ZS,Total tax rate (% of commercial profits)
IC.WRH.DURS,Time required to build a warehouse (days)
IC.WRH.PROC,Procedures to build a warehouse (number)
IE.PPI.ENGY.CD,Investment in energy with private participation (current US$)
IE.PPI.TRAN.CD,Investment in transport with private participation (current US$)
IE.PPI.WATR.CD,Investment in water and sanitation with private participation (current US$)
IQ.CPA.BREG.XQ,CPIA business regulatory environment rating (1=low to 6=high)
IQ.CPA.DEBT.XQ,CPIA debt policy rating (1=low to 6=high)
IQ.CPA.ECON.XQ,CPIA economic management cluster average (1=low to 6=high)
IQ.CPA.ENVR.XQ,CPIA policy and institutions for environmental sustainability rating (1=low to 6=high)
IQ.CPA.FINQ.XQ,CPIA quality of budgetary and financial management rating (1=low to 6=high)
IQ.CPA.FINS.XQ,CPIA financial sector rating (1=low to 6=high)
IQ.CPA.FISP.XQ,CPIA fiscal policy rating (1=low to 6=high)
IQ.CPA.GNDR.XQ,CPIA gender equality rating (1=low to 6=high)
IQ.CPA.HRES.XQ,CPIA building human resources rating (1=low to 6=high)
IQ.CPA.IRAI.XQ,IDA resource allocation index (1=low to 6=high)
IQ.CPA.MACR.XQ,CPIA macroeconomic management rating (1=low to 6=high)
IQ.CPA.PADM.XQ,CPIA quality of public administration rating (1=low to 6=high)
IQ.CPA.PRES.XQ,CPIA equity of public resource use rating (1=low to 6=high)
IQ.CPA.PROP.XQ,CPIA property rights and rule-based governance rating (1=low to 6=high)
IQ.CPA.PROT.XQ,CPIA social protection rating (1=low to 6=high)
IQ.CPA.PUBS.XQ,CPIA public sector management and institutions cluster average (1=low to 6=high)
IQ.CPA.REVN.XQ,CPIA efficiency of revenue mobilization rating (1=low to 6=high)
IQ.CPA.SOCI.XQ,CPIA policies for social inclusion/equity cluster average (1=low to 6=high)
IQ.CPA.STRC.XQ,CPIA structural policies cluster average (1=low to 6=high)
IQ.CPA.TRAD.XQ,CPIA trade rating (1=low to 6=high)
IQ.CPA.TRAN.XQ,"CPIA transparency, accountability, and corruption in the public sector rating (1=low to 6=high)"
IQ.SCI.MTHD,Methodology assessment of statistical capacity (scale 0 - 100)
IQ.SCI.OVRL,Overall level of statistical capacity (scale 0 - 100)
IQ.SCI.PRDC,Periodicity and timeliness assessment of statistical capacity (scale 0 - 100)
IQ.SCI.SRCE,Source data assessment of statistical capacity (scale 0 - 100)
LP.EXP.DURS.MD,"Lead time to export, median case (days)"
LP.IMP.DURS.MD,"Lead time to import, median case (days)"
LP.LPI.CUST.XQ,Logistics performance index: Efficiency of customs clearance process (1=low to 5=high)
LP.LPI.INFR.XQ,Logistics performance index: Quality of trade and transport-related infrastructure (1=low to 5=high)
LP.LPI.ITRN.XQ,Logistics performance index: Ease of arranging competitively priced shipments (1=low to 5=high)
LP.LPI.LOGS.XQ,Logistics performance index: Competence and quality of logistics services (1=low to 5=high)
LP.LPI.OVRL.XQ,Logistics performance index: Overall (1=low to 5=high)
LP.LPI.TIME.XQ,Logistics performance index: Frequency with which shipments reach consignee within scheduled or expected time (1=low to 5=high)
LP.LPI.TRAC.XQ,Logistics performance index: Ability to track and trace consignments (1=low to 5=high)
MS.MIL.MPRT.KD,Arms imports (SIPRI trend indicator values)
MS.MIL.TOTL.P1,"Armed forces personnel, total"
MS.MIL.TOTL.TF.ZS,Armed forces personnel (% of total labor force)
MS.MIL.XPND.CN,Military expenditure (current LCU)
MS.MIL.XPND.GD.ZS,Military expenditure (% of GDP)
MS.MIL.XPND.ZS,Military expenditure (% of central government expenditure)
MS.MIL.XPRT.KD,Arms exports (SIPRI trend indicator values)
ST.INT.ARVL,"International tourism, number of arrivals"
ST.INT.DPRT,"International tourism, number of departures"
ST.INT.RCPT.CD,"International tourism, receipts (current US$)"
ST.INT.RCPT.XP.ZS,"International tourism, receipts (% of total exports)"
ST.INT.TRNR.CD,"International tourism, receipts for passenger transport items (current US$)"
ST.INT.TRNX.CD,"International tourism, expenditures for passenger transport items (current US$)"
ST.INT.TVLR.CD,"International tourism, receipts for travel items (current US$)"
ST.INT.TVLX.CD,"International tourism, expenditures for travel items (current US$)"
ST.INT.XPND.CD,"International tourism, expenditures (current US$)"
ST.INT.XPND.MP.ZS,"International tourism, expenditures (% of total imports)"
TG.VAL.TOTL.GD.ZS,Merchandise trade (% of GDP)
TM.QTY.MRCH.XD.WD,Import volume index (2000 = 100)
TM.TAX.MANF.BC.ZS,"Binding coverage, manufactured products (%)"
TM.TAX.MANF.BR.ZS,"Bound rate, simple mean, manufactured products (%)"
TM.TAX.MANF.IP.ZS,"Share of tariff lines with international peaks, manufactured products (%)"
TM.TAX.MANF.SM.AR.ZS,"Tariff rate, applied, simple mean, manufactured products (%)"
TM.TAX.MANF.SM.FN.ZS,"Tariff rate, most favored nation, simple mean, manufactured products (%)"
TM.TAX.MANF.SR.ZS,"Share of tariff lines with specific rates, manufactured products (%)"
TM.TAX.MANF.WM.AR.ZS,"Tariff rate, applied, weighted mean, manufactured products (%)"
TM.TAX.MANF.WM.FN.ZS,"Tariff rate, most favored nation, weighted mean, manufactured products (%)"
TM.TAX.MRCH.BC.ZS,"Binding coverage, all products (%)"
TM.TAX.MRCH.BR.ZS,"Bound rate, simple mean, all products (%)"
TM.TAX.MRCH.IP.ZS,"Share of tariff lines with international peaks, all products (%)"
TM.TAX.MRCH.SM.AR.ZS,"Tariff rate, applied, simple mean, all products (%)"
TM.TAX.MRCH.SM.FN.ZS,"Tariff rate, most favored nation, simple mean, all products (%)"
TM.TAX.MRCH.SR.ZS,"Share of tariff lines with specific rates, all products (%)"
TM.TAX.MRCH.WM.AR.ZS,"Tariff rate, applied, weighted mean, all products (%)"
TM.TAX.MRCH.WM.FN.ZS,"Tariff rate, most favored nation, weighted mean, all products (%)"
TM.TAX.TCOM.BC.ZS,"Binding coverage, primary products (%)"
TM.TAX.TCOM.BR.ZS,"Bound rate, simple mean, primary products (%)"
TM.TAX.TCOM.IP.ZS,"Share of tariff lines with international peaks, primary products (%)"
TM.TAX.TCOM.SM.AR.ZS,"Tariff rate, applied, simple mean, primary products (%)"
TM.TAX.TCOM.SM.FN.ZS,"Tariff rate, most favored nation, simple mean, primary products (%)"
TM.TAX.TCOM.SR.ZS,"Share of tariff lines with specific rates, primary products (%)"
TM.TAX.TCOM.WM.AR.ZS,"Tariff rate, applied, weighted mean, primary products (%)"
TM.TAX.TCOM.WM.FN.ZS,"Tariff rate, most favored nation, weighted mean, primary products (%)"
TM.VAL.AGRI.ZS.UN,Agricultural raw materials imports (% of merchandise imports)
TM.VAL.FOOD.ZS.UN,Food imports (% of merchandise imports)
TM.VAL.FUEL.ZS.UN,Fuel imports (% of merchandise imports)
TM.VAL.INSF.ZS.WT,Insurance and financial services (% of commercial service imports)
TM.VAL.MANF.ZS.UN,Manufactures imports (% of merchandise imports)
TM.VAL.MMTL.ZS.UN,Ores and metals imports (% of merchandise imports)
TM.VAL.MRCH.AL.ZS,Merchandise imports from economies in the Arab World (% of total merchandise imports)
TM.VAL.MRCH.CD.WT,Merchandise imports (current US$)
TM.VAL.MRCH.HI.ZS,Merchandise imports from high-income economies (% of total merchandise imports)
TM.VAL.MRCH.OR.ZS,Merchandise imports from low- and middle-income economies outside region (% of total merchandise imports)
TM.VAL.MRCH.R1.ZS,Merchandise imports from low- and middle-income economies in East Asia & Pacific (% of total merchandise imports)
TM.VAL.MRCH.R2.ZS,Merchandise imports from low- and middle-income economies in Europe & Central Asia (% of total merchandise imports)
TM.VAL.MRCH.R3.ZS,Merchandise imports from low- and middle-income economies in Latin America & the Caribbean (% of total merchandise imports)
TM.VAL.MRCH.R4.ZS,Merchandise imports from low- and middle-income economies in Middle East & North Africa (% of total merchandise imports)
TM.VAL.MRCH.R5.ZS,Merchandise imports from low- and middle-income economies in South Asia (% of total merchandise imports)
TM.VAL.MRCH.R6.ZS,Merchandise imports from low- and middle-income economies in Sub-Saharan Africa (% of total merchandise imports)
TM.VAL.MRCH.RS.ZS,"Merchandise imports by the reporting economy, residual (% of total merchandise imports)"
TM.VAL.MRCH.WL.CD,Merchandise imports by the reporting economy (current US$)
TM.VAL.MRCH.WR.ZS,Merchandise imports from low- and middle-income economies within region (% of total merchandise imports)
TM.VAL.MRCH.XD.WD,Import value index (2000 = 100)
TM.VAL.OTHR.ZS.WT,"Computer, communications and other services (% of commercial service imports)"
TM.VAL.SERV.CD.WT,Commercial service imports (current US$)
TM.VAL.TRAN.ZS.WT,Transport services (% of commercial service imports)
TM.VAL.TRVL.ZS.WT,Travel services (% of commercial service imports)
TT.PRI.MRCH.XD.WD,Net barter terms of trade index (2000 = 100)
TX.QTY.MRCH.XD.WD,Export volume index (2000 = 100)
TX.VAL.AGRI.ZS.UN,Agricultural raw materials exports (% of merchandise exports)
TX.VAL.FOOD.ZS.UN,Food exports (% of merchandise exports)
TX.VAL.FUEL.ZS.UN,Fuel exports (% of merchandise exports)
TX.VAL.INSF.ZS.WT,Insurance and financial services (% of commercial service exports)
TX.VAL.MANF.ZS.UN,Manufactures exports (% of merchandise exports)
TX.VAL.MMTL.ZS.UN,Ores and metals exports (% of merchandise exports)
TX.VAL.MRCH.AL.ZS,Merchandise exports to economies in the Arab World (% of total merchandise exports)
TX.VAL.MRCH.CD.WT,Merchandise exports (current US$)
TX.VAL.MRCH.HI.ZS,Merchandise exports to high-income economies (% of total merchandise exports)
TX.VAL.MRCH.OR.ZS,Merchandise exports to low- and middle-income economies outside region (% of total merchandise exports)
TX.VAL.MRCH.R1.ZS,Merchandise exports to low- and middle-income economies in East Asia & Pacific (% of total merchandise exports)
TX.VAL.MRCH.R2.ZS,Merchandise exports to low- and middle-income economies in Europe & Central Asia (% of total merchandise exports)
TX.VAL.MRCH.R3.ZS,Merchandise exports to low- and middle-income economies in Latin America & the Caribbean (% of total merchandise exports)
TX.VAL.MRCH.R4.ZS,Merchandise exports to low- and middle-income economies in Middle East & North Africa (% of total merchandise exports)
TX.VAL.MRCH.R5.ZS,Merchandise exports to low- and middle-income economies in South Asia (% of total merchandise exports)
TX.VAL.MRCH.R6.ZS,Merchandise exports to low- and middle-income economies in Sub-Saharan Africa (% of total merchandise exports)
TX.VAL.MRCH.RS.ZS,"Merchandise exports by the reporting economy, residual (% of total merchandise exports)"
TX.VAL.MRCH.WL.CD,Merchandise exports by the reporting economy (current US$)
TX.VAL.MRCH.WR.ZS,Merchandise exports to low- and middle-income economies within region (% of total merchandise exports)
TX.VAL.MRCH.XD.WD,Export value index (2000 = 100)
TX.VAL.OTHR.ZS.WT,"Computer, communications and other services (% of commercial service exports)"
TX.VAL.SERV.CD.WT,Commercial service exports (current US$)
TX.VAL.TRAN.ZS.WT,Transport services (% of commercial service exports)
TX.VAL.TRVL.ZS.WT,Travel services (% of commercial service exports)
VC.BTL.DETH,Battle-related deaths (number of people)
VC.IHR.PSRC.P5,"Intentional homicides (per 100,000 people)"
VC.PKP.TOTL.UN,"Presence of peace keepers (number of troops, police, and military observers in mandate)"
